"","cexp","cobs_CIlow","cobs_CIHigh","kappa_CIlow","kappa_CIHigh"
"1",0.00417305826194349,0,0.00625,0,2.2693237924728e-17
"2",0.0160248907875681,0.0125,0.01875,-4.59646475163281e-17,0.000159210316828573
"3",0.0248444964039177,0.025,0.025,-2.1350442781253e-17,0.000320410124959992
"4",0.0342887786154224,0.025,0.0375,-0.012247546435234,0.000729986211371519
"5",0.0464198049555173,0.0375,0.05,-0.0121590535655603,0.00131406044678053
"6",0.0557915959855851,0.04375,0.0625,-0.0120721018686952,0.00207900207900208
"7",0.0646252257312976,0.05,0.06875,-0.0118947897470263,0.00251046025104606
"8",0.0759665656196111,0.0625,0.08125,-0.0118043844856661,0.00355871886121002
"9",0.0863008712524979,0.075,0.09375,-0.0125716240485761,0.00480439258750863
"10",0.096124281545895,0.08125,0.10625,-0.0215427380125087,0.00625434329395408
"11",0.105517841141717,0.0875,0.1125,-0.0216934919524142,0.006993006993007
"12",0.115693643785634,0.09375,0.125,-0.0209145693016661,0.00876183733073725
"13",0.126465283279362,0.10625,0.1375,-0.0211235955056179,0.010752688172043
"14",0.136565981607996,0.1125,0.15,-0.0235934664246824,0.0129728748979406
"15",0.146725610811559,0.125,0.1625,-0.0294117647058823,0.0151584749655489
"16",0.15697821730438,0.13125,0.175,-0.0281065088757396,0.0178571428571429
"17",0.166834488289883,0.1375,0.1875,-0.0298507462686567,0.0208078335373316
"18",0.176902537533887,0.15,0.2,-0.036684135302525,0.0235529703442357
"19",0.187137581490269,0.15625,0.2125,-0.0358718588145022,0.026369168356998
"20",0.197329185823278,0.16875,0.225,-0.0366328916601714,0.0296914418785173
"21",0.207323293220369,0.175,0.23125,-0.0434782608695652,0.0332805071315372
"22",0.217009880338136,0.18125,0.24375,-0.042371195544062,0.0366242038216561
"23",0.226876879031492,0.19375,0.25625,-0.0414971521562246,0.0381895332390382
"24",0.237282843177809,0.2,0.26875,-0.0488579330123937,0.036734693877551
"25",0.247689837133337,0.2125,0.28125,-0.0478170478170478,0.0397350993377484
"26",0.257635345020059,0.21875,0.2875,-0.0486577181208054,0.0433862433862434
"27",0.26763774045171,0.23125,0.3,-0.0525198938992042,0.0465965213656861
"28",0.277747898710742,0.2375,0.3125,-0.0517241379310345,0.0451388888888889
"29",0.287868890583836,0.25,0.325,-0.0553859572612298,0.0476190476190475
"30",0.297797955565028,0.25625,0.33125,-0.0562828689716907,0.051418439716312
"31",0.307961127655672,0.26875,0.34375,-0.0588235294117647,0.0529875986471252
"32",0.318268026110145,0.275,0.35625,-0.0599078341013824,0.0548290892406515
"33",0.32827673375895,0.2875,0.36875,-0.0634328358208955,0.0571761960326722
"34",0.338346103737272,0.29375,0.38125,-0.0647816766710966,0.0601503759398496
"35",0.348480494105169,0.30625,0.3875,-0.0670511896178803,0.0623489608506525
"36",0.358651584114978,0.3125,0.4,-0.0684798445847499,0.064441466682909
"37",0.368762101421166,0.325,0.4125,-0.0720432751413818,0.0674603174603174
"38",0.378840274367311,0.33125,0.425,-0.07429718875502,0.0697674418604651
"39",0.388940111522982,0.34375,0.43125,-0.0769230769230769,0.0739549839228296
"40",0.399013483513236,0.35,0.44375,-0.0789780832576839,0.0775681341719078
"41",0.409158708454122,0.3625,0.45625,-0.0827858081471748,0.0805812417437252
"42",0.419199076037902,0.36875,0.46875,-0.0851871947911015,0.08207343412527
"43",0.429154185666086,0.375,0.48125,-0.0891763104152484,0.0866574965612105
"44",0.439277086548371,0.3875,0.49375,-0.0939226519337016,0.0920415224913495
"45",0.449474992821377,0.39375,0.5,-0.0958904109589041,0.0954063604240283
"46",0.459690785708831,0.40625,0.5125,-0.101449275362319,0.100864553314121
"47",0.469685619738353,0.4125,0.525,-0.106533254855798,0.106539309331374
"48",0.479851693562111,0.41875,0.5375,-0.111443083358231,0.110576923076923
"49",0.490304680835573,0.43125,0.55,-0.119648894227339,0.119804400977995
"50",0.499999477562049,0.43125,0.56875,-0.133603238866397,0.13312693498452
"51",0.509696581619038,0.45,0.56875,-0.124600638977636,0.125198098256735
"52",0.520147282506088,0.4625,0.58125,-0.120338707050969,0.120734908136483
"53",0.530314887125421,0.475,0.5875,-0.120263591433278,0.121171770972037
"54",0.540301509589193,0.4875,0.59375,-0.117845117845118,0.120730470071018
"55",0.550525720618589,0.5,0.60625,-0.116086806751636,0.117647058823529
"56",0.560726647481771,0.50625,0.6125,-0.117478510028653,0.119787045252884
"57",0.570848883623692,0.51875,0.61875,-0.115942028985507,0.117859725234996
"58",0.580804214702058,0.53125,0.63125,-0.114457831325301,0.117757009345794
"59",0.590849421357367,0.54375,0.6375,-0.116634799235182,0.120045514887161
"60",0.600981150128089,0.55625,0.65,-0.115198451113262,0.119669876203576
"61",0.611054939263042,0.56875,0.65625,-0.115537848605578,0.122457120063822
"62",0.621159449014589,0.575,0.66875,-0.114345114345114,0.119983703401915
"63",0.631236861751893,0.5875,0.675,-0.11587982832618,0.12476330738481
"64",0.641343297800324,0.6,0.6875,-0.116197950730325,0.12258064516129
"65",0.65151782641484,0.6125,0.69375,-0.117021276595745,0.126170307623718
"66",0.66164861205082,0.61875,0.70625,-0.118359739049394,0.125581395348837
"67",0.671725503596095,0.63125,0.7125,-0.116458132820019,0.130014499758337
"68",0.681725125270151,0.64375,0.725,-0.115815691158157,0.127906976744186
"69",0.692039272718581,0.65625,0.73125,-0.119592875318067,0.133501259445844
"70",0.7021956767909,0.66875,0.74375,-0.122661122661123,0.131815775542615
"71",0.712132685959396,0.675,0.75,-0.119034558420186,0.136302294197031
"72",0.72225054359289,0.6875,0.7625,-0.119360365505426,0.136212624584717
"73",0.732359725046043,0.7,0.76875,-0.126760563380282,0.143876337693223
"74",0.742359589108644,0.7125,0.78125,-0.125748502994012,0.139013452914799
"75",0.752308903111971,0.71875,0.7875,-0.120099564405725,0.144654088050314
"76",0.762717303473541,0.73125,0.8,-0.121251629726206,0.157062891010866
"77",0.773127888247446,0.74375,0.80625,-0.130254996554101,0.141868512110726
"78",0.782989330513548,0.75625,0.81875,-0.133720930232558,0.153737658674189
"79",0.792676979293859,0.76875,0.825,-0.128048780487804,0.164179104477612
"80",0.802670943521544,0.775,0.83125,-0.121794871794871,0.14826498422713
"81",0.812865278873988,0.7875,0.84375,-0.114754098360656,0.156118143459916
"82",0.823096805129802,0.8,0.85,-0.107142857142857,0.16702819956616
"83",0.833165574786536,0.8125,0.8625,-0.101422670949977,0.149347510874819
"84",0.84301956738123,0.825,0.86875,-0.0937500000000001,0.153225806451613
"85",0.853274904648221,0.8375,0.875,-0.0861618798955617,0.166666666666667
"86",0.863434613898214,0.85,0.8875,-0.0804727068092294,0.146919431279621
"87",0.87353369001307,0.8625,0.89375,-0.0731707317073164,0.144654088050314
"88",0.884303611911277,0.875,0.90625,-0.0659560293137915,0.162011173184358
"89",0.894479462975634,0.8875,0.9125,-0.0588235294117656,0.181286549707602
"90",0.903869858269876,0.89375,0.91875,-0.0559006211180112,0.192546583850932
"91",0.913696040995407,0.90625,0.925,-0.0489510489510492,0.13279132791328
"92",0.924030904034419,0.91875,0.9375,-0.0420841683366735,0.14396887159533
"93",0.935366803699055,0.93125,0.95,-0.0352941176470602,0.178433889602052
"94",0.944207002767388,0.9375,0.95625,-0.032258064516129,0.206798866855525
"95",0.953581800261627,0.95,0.9625,-0.0256410256410251,0.241706161137441
"96",0.965724551973019,0.9625,0.975,-0.0191082802547747,0.320594479830149
"97",0.975155945191549,0.975,0.975,-0.0126582278481033,0
"98",0.984002525550523,0.98125,0.9875,-0.00840336134454815,0
"99",0.99375,0.99375,0.99375,0,0
"100",1,1,1,NA,NA
